id;name;jhi_desc;status;add_time;price;main_image;rent_period;currency
1;mobile Fish;Home Loan Account Table Computer;ACTIVE;33370;60111;alarm;HOUR;BEER
2;Home Loan Account;web-readiness;INRENT;39986;13949;zero administration;DAY;EUR
3;Canyon HDD;Table Small Frozen Sausages Planner;ACTIVE;24102;44015;Rubber Buckinghamshire Games;DAY;EUR
4;Industrial;connect Markets Chief;INRENT;57044;19598;Tasty Plastic Pizza scale;HOUR;EUR
5;bifurcated scalable;Small;INRENT;1407;81546;monitor;HOUR;PLN
6;Highway Ergonomic;moratorium moratorium;DISACTIVE;38292;11959;bus synthesize Idaho;DAY;EUR
7;Harbor Montana;Corporate Phased relationships;RESERVED;69478;16122;Web virtual deposit;DAY;USD
8;Direct;Profit-focused;RESERVED;30478;695;Borders;DAY;EUR
9;Gloves sky blue Oklahoma;robust Engineer;RESERVED;14808;28484;Computers Personal Loan Account Berkshire;HOUR;USD
10;Lebanon;Designer Persistent;DISACTIVE;80313;36778;invoice withdrawal;DAY;EUR
